IntCode,latitude,longitude,AccOverTime
1,40.44406788978768,-79.99543083296689,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,40.44445640089773,-79.99560909184832,"[0, 0, 0, 4, 0, 0, 1, 2, 2, 1, 2, 3, 3, 3]"
3,40.44644263032881,-79.9965135556597,"[0, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 2, 2, 0]"
4,40.44492966247119,-79.99604108332406,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,40.429414354613854,-79.9886091538848,"[0, 0, 0, 0, 0, 2, 1, 2, 0, 4, 0, 2, 0, 2]"
6,40.42907492714723,-79.98858980761405,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
7,40.42870249964571,-79.9885729594477,"[5, 5, 9, 6, 7, 5, 10, 4, 9, 2, 3, 4, 6, 2]"
8,40.43074781311231,-79.98869831521198,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
9,40.43002946303592,-79.98864303743579,"[1, 0, 0, 2, 3, 0, 5, 3, 1, 1, 3, 2, 3, 3]"
10,40.4338150670715,-79.98961401758143,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,40.44564728761792,-79.99413201872078,"[0, 0, 0, 0, 2, 0, 1, 2, 2, 1, 1, 2, 1, 0]"
12,40.44634923900245,-79.99439528148528,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,40.44530040141126,-79.99400187299626,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,40.44493660816218,-79.99385858576794,"[0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 5, 3, 3, 3]"
15,40.44412417980433,-79.9934514924462,"[0, 0, 0, 0, 1, 0, 1, 1, 4, 2, 4, 0, 4, 1]"
16,40.42716330664058,-79.98748078515123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,40.42661052300743,-79.9874543696493,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,40.42939347873129,-79.98752509775385,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,40.42872636220913,-79.98751824583407,"[1, 2, 1, 1, 4, 0, 1, 2, 0, 0, 0, 1, 1, 1]"
20,40.42771072480485,-79.98750073425943,"[0, 0, 0, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1]"
21,40.42615208975222,-79.9874122199069,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,40.43005298032769,-79.98753529072023,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
23,40.44607820680449,-79.99269162435469,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
24,40.445763512293546,-79.99238824096491,"[0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 1, 0, 2, 0]"
25,40.44635462158472,-79.99298655086058,"[0, 0, 1, 1, 5, 0, 1, 0, 0, 0, 2, 1, 0, 1]"
26,40.445217102577466,-79.99182107861516,"[0, 0, 0, 0, 2, 2, 1, 0, 2, 3, 1, 1, 3, 3]"
27,40.42842108635051,-79.98640860341433,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
28,40.427738321789576,-79.98635902485435,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]"
29,40.42874964286053,-79.98642218871801,"[1, 0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 1, 2, 3]"
30,40.430699636249344,-79.98647155343352,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
