,description,latitude,longitude,turnsign,vissign,yieldsign,stopsign,parksign,light
0,Stop,40.45934713,-80.01907409,0,0,0,1,0,0
1,Stop,40.38695524,-80.00216142,0,0,0,1,0,0
2,Stop,40.4398277,-79.93481364,0,0,0,1,0,0
3,Stop,40.47868533,-79.91927039,0,0,0,1,0,0
4,Stop,40.47854252,-79.91918992,0,0,0,1,0,0
5,Stop,40.43782502,-79.97763726,0,0,0,1,0,0
6,Stop,40.45368055,-79.91417873,0,0,0,1,0,0
7,Stop,40.44737373,-79.91856931,0,0,0,1,0,0
8,Stop,40.43871121,-79.99332903,0,0,0,1,0,0
9,Stop,40.43811103,-79.99338267,0,0,0,1,0,0
10,Stop,40.45752079,-80.00637584,0,0,0,1,0,0
11,Stop,40.4574065,-80.00635974,0,0,0,1,0,0
12,Stop,40.45752487,-80.00626518,0,0,0,1,0,0
13,Stop,40.45041092,-79.91780756,0,0,0,1,0,0
14,Stop,40.45684322,-80.00616862,0,0,0,1,0,0
15,Stop,40.42268549,-80.00759411,0,0,0,1,0,0
16,Stop,40.45675546,-80.00613911,0,0,0,1,0,0
17,Stop,40.45686567,-80.00605596,0,0,0,1,0,0
18,Stop,40.45406659,-79.86705995,0,0,0,1,0,0
19,Stop,40.45404822,-79.86730404,0,0,0,1,0,0
20,Stop,40.45415269,-79.86720513,0,0,0,1,0,0
21,Stop,40.44675148,-79.96638048,0,0,0,1,0,0
22,Stop,40.4612334,-79.92788294,0,0,0,1,0,0
23,Stop,40.45061502,-79.91728185,0,0,0,1,0,0
24,Stop,40.41850962,-80.01222922,0,0,0,1,0,0
25,Stop,40.44496542,-79.97171771,0,0,0,1,0,0
26,Stop,40.44511369,-79.97178483,0,0,0,1,0,0
27,Stop,40.44489732,-79.97189748,0,0,0,1,0,0
28,Stop,40.48735561,-80.04501507,0,0,0,1,0,0
29,Stop,40.41158818,-79.99289552,0,0,0,1,0,0
30,Stop,40.46393256,-79.89094228,0,0,0,1,0,0
31,Stop,40.45017119,-79.92830867,0,0,0,1,0,0
32,Stop,40.45308288,-79.91975389,0,0,0,1,0,0
33,Stop,40.45302561,-79.89637095,0,0,0,1,0,0
34,Stop,40.45293364,-79.91507170000001,0,0,0,1,0,0
35,Stop,40.42205146,-79.92787161,0,0,0,1,0,0
36,Stop,40.42057104,-79.92281028,0,0,0,1,0,0
37,Stop,40.45224946,-79.91575718,0,0,0,1,0,0
38,Stop,40.45741461,-79.88956077,0,0,0,1,0,0
39,Stop,40.45746155,-79.88935155,0,0,0,1,0,0
40,Stop,40.45736972,-79.88941324,0,0,0,1,0,0
41,Stop,40.40574936,-79.99121384,0,0,0,1,0,0
42,Stop,40.4067624,-79.99205069,0,0,0,1,0,0
43,Stop,40.44534655,-79.8957022,0,0,0,1,0,0
44,Stop,40.44322147,-79.89662678,0,0,0,1,0,0
45,Stop,40.45309704,-79.89646214,0,0,0,1,0,0
46,Stop,40.45548443,-79.89035577,0,0,0,1,0,0
47,Stop,40.45070035,-79.89264638,0,0,0,1,0,0
48,Stop,40.45067585,-79.89238352,0,0,0,1,0,0
49,Stop,40.43840792,-79.89694864,0,0,0,1,0,0
50,Stop,40.43592549,-79.89587576,0,0,0,1,0,0
51,Stop,40.43577237,-79.8960957,0,0,0,1,0,0
52,Stop,40.43617099,-79.99634917,0,0,0,1,0,0
53,Stop,40.45399863,-79.89072592,0,0,0,1,0,0
54,Stop,40.45421293,-79.89078224,0,0,0,1,0,0
55,Stop,40.45414762,-79.89059181,0,0,0,1,0,0
56,Stop,40.45410476,-79.89089758,0,0,0,1,0,0
57,Stop,40.45294397,-79.896438,0,0,0,1,0,0
58,Stop,40.42559995,-79.97338231,0,0,0,1,0,0
59,Stop,40.44409962,-79.92546056,0,0,0,1,0,0
60,Stop,40.50014032,-80.01277486,0,0,0,1,0,0
61,Stop,40.39134811,-79.99051112,0,0,0,1,0,0
62,Stop,40.45198008,-79.89152790000001,0,0,0,1,0,0
63,Stop,40.45199768,-79.89177871,0,0,0,1,0,0
64,Stop,40.45208953,-79.89165801,0,0,0,1,0,0
65,Stop,40.45188542,-79.89160437,0,0,0,1,0,0
66,Stop,40.44620296,-79.89562232,0,0,0,1,0,0
67,Stop,40.44622541,-79.8953997,0,0,0,1,0,0
68,Stop,40.45355422,-79.89602226,0,0,0,1,0,0
69,Stop,40.42718543,-79.98845331,0,0,0,1,0,0
70,Stop,40.42717318,-79.98862257,0,0,0,1,0,0
71,Stop,40.43483175,-79.99216529,0,0,0,1,0,0
72,Stop,40.42711805,-79.98743436,0,0,0,1,0,0
73,Stop,40.41066879,-80.02050466,0,0,0,1,0,0
74,Stop,40.41066879,-80.02050466,0,0,0,1,0,0
75,Stop,40.42920314,-79.94971366,0,0,0,1,0,0
76,Stop,40.42912556,-79.94951518,0,0,0,1,0,0
77,Stop,40.42721197,-79.98741558,0,0,0,1,0,0
78,Stop,40.44954369,-79.93300408,0,0,0,1,0,0
79,No Turn on Red,40.44701887,-79.94715182,1,0,0,0,0,0
80,No Turn on Red,40.44717403,-79.94726175,1,0,0,0,0,0
81,No Turn on Red,40.44711892,-79.94754339,1,0,0,0,0,0
82,No Turn on Red,40.44701686,-79.94737441,1,0,0,0,0,0
83,Stop,40.462506,-79.9985925,0,0,0,1,0,0
84,No Turn on Red,40.44636978,-79.95205490000002,1,0,0,0,0,0
85,No Turn on Red,40.446712700000006,-79.95195298,1,0,0,0,0,0
86,Stop,40.46238152,-79.99850935,0,0,0,1,0,0
87,Stop,40.4615035,-80.02941701,0,0,0,1,0,0
88,Stop,40.46351345,-80.02861217,0,0,0,1,0,0
89,Stop,40.4622216,-79.99849021,0,0,0,1,0,0
90,Stop,40.46862328,-79.90166483,0,0,0,1,0,0
91,Stop,40.44348283,-80.03085259999997,0,0,0,1,0,0
92,Stop,40.44342057,-80.03081237,0,0,0,1,0,0
93,Stop,40.44336342,-80.03076141,0,0,0,1,0,0
94,Stop,40.44328502,-80.03086947,0,0,0,1,0,0
95,Stop,40.46867021,-79.90187672,0,0,0,1,0,0
96,Stop,40.43199396,-79.95846722,0,0,0,1,0,0
97,Stop,40.43202663,-79.9583787,0,0,0,1,0,0
98,Stop,40.46859063,-79.90181771,0,0,0,1,0,0
99,Stop,40.44979826,-80.01720490000002,0,0,0,1,0,0
100,Stop,40.45370934,-79.89604908,0,0,0,1,0,0
101,Stop,40.46858451,-79.90185526,0,0,0,1,0,0
102,Stop,40.42633518,-79.91255095,0,0,0,1,0,0
103,Stop,40.42450965,-79.91203596,0,0,0,1,0,0
104,Stop,40.42446589,-79.91184092,0,0,0,1,0,0
105,Stop,40.42433566,-79.91187297,0,0,0,1,0,0
106,Stop,40.42411719,-79.91046785,0,0,0,1,0,0
107,Stop,40.42422541,-79.91031715,0,0,0,1,0,0
108,Stop,40.42399882,-79.91034803,0,0,0,1,0,0
109,Stop,40.423033200000006,-79.91182031,0,0,0,1,0,0
110,Stop,40.423852,-79.91198929,0,0,0,1,0,0
111,Stop,40.42339258,-79.91303803,0,0,0,1,0,0
112,Stop,40.46864572,-79.90195719,0,0,0,1,0,0
113,Stop,40.42328438,-79.91289054,0,0,0,1,0,0
114,Stop,40.42278309,-79.91221865,0,0,0,1,0,0
115,Stop,40.42156439,-79.91265023,0,0,0,1,0,0
116,Stop,40.42148272,-79.91281116,0,0,0,1,0,0
117,Stop,40.42138389,-79.91268107,0,0,0,1,0,0
118,Stop,40.42057731,-79.91448888,0,0,0,1,0,0
119,Stop,40.42054260000001,-79.91469005,0,0,0,1,0,0
120,Stop,40.42040734,-79.91464445,0,0,0,1,0,0
121,Stop,40.42107364,-79.91488317,0,0,0,1,0,0
122,Stop,40.42119003,-79.91493681,0,0,0,1,0,0
123,Stop,40.36578148,-79.90842463,0,0,0,1,0,0
124,Stop,40.42104801,-79.91506824,0,0,0,1,0,0
125,Stop,40.42032719,-79.91635033,0,0,0,1,0,0
126,Stop,40.42022447,-79.91623314,0,0,0,1,0,0
127,Stop,40.41985882,-79.91583366,0,0,0,1,0,0
128,Stop,40.41991396,-79.91565127,0,0,0,1,0,0
129,Stop,40.4193543,-79.91638073,0,0,0,1,0,0
130,Stop,40.41923807,-79.91626539,0,0,0,1,0,0
131,Stop,40.4197547,-79.91678498,0,0,0,1,0,0
132,Stop,40.41968731,-79.91693519,0,0,0,1,0,0
133,Stop,40.41924215,-79.91778813,0,0,0,1,0,0
134,Stop,40.36674437,-79.90914301,0,0,0,1,0,0
135,Stop,40.41931347,-79.9180927,0,0,0,1,0,0
136,Stop,40.41923199,-79.91838339,0,0,0,1,0,0
137,Stop,40.41893589,-79.91802934,0,0,0,1,0,0
138,Stop,40.41899363,-79.91789861,0,0,0,1,0,0
139,Stop,40.41879760000001,-79.91788788,0,0,0,1,0,0
140,Stop,40.41840144,-79.9184431,0,0,0,1,0,0
141,Stop,40.41834222,-79.9186389,0,0,0,1,0,0
142,Stop,40.41820132,-79.91856268,0,0,0,1,0,0
143,Stop,40.45891468,-80.03232404,0,0,0,1,0,0
144,Stop,40.41825192,-79.91839141,0,0,0,1,0,0
145,Stop,40.41773120000001,-79.91806418,0,0,0,1,0,0
146,Stop,40.4177753,-79.91786221,0,0,0,1,0,0
147,Stop,40.41763848,-79.91780588,0,0,0,1,0,0
148,Stop,40.41757722,-79.91798559,0,0,0,1,0,0
149,Stop,40.4187774,-79.9199593,0,0,0,1,0,0
150,Stop,40.41892034,-79.91998076,0,0,0,1,0,0
151,Stop,40.45886162,-80.03362223,0,0,0,1,0,0
152,Stop,40.41877629,-79.92015168,0,0,0,1,0,0
153,Stop,40.41925412,-79.91922632,0,0,0,1,0,0
154,Stop,40.41911459,-79.91918087,0,0,0,1,0,0
155,Stop,40.41907602,-79.91937357,0,0,0,1,0,0
156,Stop,40.4179774,-79.91959888,0,0,0,1,0,0
157,Stop,40.41782833,-79.91959888,0,0,0,1,0,0
158,Stop,40.41797536,-79.91978663,0,0,0,1,0,0
159,Stop,40.41723817,-79.9195506,0,0,0,1,0,0
160,Stop,40.41723204,-79.91936821,0,0,0,1,0,0
161,Stop,40.4171132,-79.91955596,0,0,0,1,0,0
162,Stop,40.45889835,-80.0334183,0,0,0,1,0,0
163,Stop,40.4143697,-79.92199232,0,0,0,1,0,0
164,Stop,40.41449931,-79.92217771,0,0,0,1,0,0
165,Stop,40.45871356,-80.03358195,0,0,0,1,0,0
166,Stop,40.46071682,-79.92620982,0,0,0,1,0,0
167,Stop,40.46042499,-79.92511548,0,0,0,1,0,0
168,Stop,40.46045012,-79.92488688,0,0,0,1,0,0
169,Stop,40.48801128,-80.03887772,0,0,0,1,0,0
170,No Turn on Red,40.46233507,-79.94445247,1,0,0,0,0,0
171,No Turn on Red,40.46245139,-79.94459463,1,0,0,0,0,0
172,Stop,40.48814387,-80.03895819,0,0,0,1,0,0
173,Stop,40.45361749,-79.89612687,0,0,0,1,0,0
174,Stop,40.48832747,-80.04056215,0,0,0,1,0,0
