IntCode,latitude,longitude,numacc,numones,meanspeed,maxdiffspeed,numroad,uniroad,ZipCode,StopSign,StopPerWay,TrafficLight,TrafficFlash,turnrestriction,noparking,vissigns,yielding,Complaints311,AccOverTime,STlist,STstr
1,40.44406788978768,-79.99543083296689,0.0,0,25.0,0.0,3.0,2.0,['15222'],0,,0,,0,0,0,0,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['10TH ST', 'EXCHANGE WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",10TH ST EXCHANGE WAY
2,40.44445640089773,-79.99560909184832,1.6153846153846154,0,28.33333333333333,10.0,6.0,2.0,['15222'],0,,1,0.0,5,0,0,0,9,"[0, 0, 0, 4, 0, 0, 1, 2, 2, 1, 2, 3, 3, 3]","['10TH ST', 'PENN AVE', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",10TH ST PENN AVE
3,40.44644263032881,-79.9965135556597,0.6923076923076923,2,30.0,10.0,4.0,2.0,['15222'],0,,1,0.0,2,0,0,1,4,"[0, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 2, 2, 0]","['10TH ST', 'FORT DUQUESNE BLVD', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",10TH ST FORT DUQUESNE BLVD
4,40.44492966247119,-79.99604108332406,0.0,0,25.0,0.0,5.0,2.0,['15222'],1,2.5,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['10TH ST', 'FRENCH ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",10TH ST FRENCH ST
5,40.429414354613854,-79.9886091538848,1.0,0,30.0,10.0,4.0,2.0,['15203'],0,,1,1.0,1,1,0,0,4,"[0, 0, 0, 0, 0, 2, 1, 2, 0, 4, 0, 2, 0, 2]","['S 10TH ST', 'BINGHAM ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 10TH ST BINGHAM ST
6,40.42907492714723,-79.98858980761405,0.15384615384615385,0,31.66666666666667,10.0,3.0,2.0,['15203'],0,,0,,1,1,0,0,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]","['S 10TH ST', 'CABOT WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 10TH ST CABOT WAY
7,40.42870249964571,-79.9885729594477,5.9230769230769225,0,32.5,10.0,4.0,2.0,['15203'],0,,1,0.0,4,1,0,1,6,"[5, 5, 9, 6, 7, 5, 10, 4, 9, 2, 3, 4, 6, 2]","['S 10TH ST', 'E CARSON ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 10TH ST E CARSON ST
8,40.43074781311231,-79.98869831521198,0.07692307692307693,0,35.0,0.0,2.0,2.0,['15203'],0,,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['S 10TH ST', '10TH STREET BRG', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 10TH ST 10TH STREET BRG
9,40.43002946303592,-79.98864303743579,2.0769230769230766,0,31.66666666666667,10.0,3.0,2.0,['15203'],0,,1,1.0,5,2,0,1,4,"[1, 0, 0, 2, 3, 0, 5, 3, 1, 1, 3, 2, 3, 3]","['S 10TH ST', 'MURIEL ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 10TH ST MURIEL ST
10,40.4338150670715,-79.98961401758143,0.0,1,50.0,30.0,2.0,2.0,['15219'],0,,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['10TH STREET BRG', 'I376 EB HWY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",10TH STREET BRG I376 EB HWY
11,40.44564728761792,-79.99413201872078,0.9230769230769232,0,31.66666666666667,10.0,3.0,2.0,['15222'],0,,1,0.0,2,0,0,0,8,"[0, 0, 0, 0, 2, 0, 1, 2, 2, 1, 1, 2, 1, 0]","['11TH ST', 'SMALLMAN ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",11TH ST SMALLMAN ST
12,40.44634923900245,-79.99439528148528,0.0,1,31.66666666666667,10.0,3.0,3.0,['15222'],0,,0,,0,0,0,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['11TH ST', 'WATERFRONT PL', 'FORT DUQUESNE BLVD', 'None', 'None', 'None', 'None', 'None', 'None']",11TH ST WATERFRONT PL FORT DUQUESNE BLVD
13,40.44530040141126,-79.99400187299626,0.0,0,31.66666666666667,10.0,3.0,2.0,['15222'],0,,0,,1,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['11TH ST', 'MULBERRY WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",11TH ST MULBERRY WAY
14,40.44493660816218,-79.99385858576794,1.7692307692307692,0,35.0,0.0,4.0,2.0,['15222'],0,,1,0.0,2,0,0,0,3,"[0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 5, 3, 3, 3]","['11TH ST', 'PENN AVE', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",11TH ST PENN AVE
15,40.44412417980433,-79.9934514924462,1.3846153846153846,0,35.0,0.0,5.0,2.0,['15222'],0,,1,0.0,4,0,0,0,4,"[0, 0, 0, 0, 1, 0, 1, 1, 4, 2, 4, 0, 4, 1]","['11TH ST', 'LIBERTY AVE', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",11TH ST LIBERTY AVE
16,40.42716330664058,-79.98748078515123,0.0,4,25.0,0.0,4.0,2.0,['15203'],1,0.0,0,,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 11TH ST', 'BRADISH ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 11TH ST BRADISH ST
17,40.42661052300743,-79.9874543696493,0.0,4,25.0,0.0,4.0,2.0,['15203'],1,0.0,0,,0,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 11TH ST', 'FREYBURG ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 11TH ST FREYBURG ST
18,40.42939347873129,-79.98752509775385,0.0,0,25.0,0.0,4.0,2.0,['15203'],1,1.0,0,,0,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 11TH ST', 'BINGHAM ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 11TH ST BINGHAM ST
19,40.42872636220913,-79.98751824583407,1.1538461538461535,0,30.0,10.0,4.0,2.0,['15203'],1,2.0,0,,0,4,0,0,4,"[1, 2, 1, 1, 4, 0, 1, 2, 0, 0, 0, 1, 1, 1]","['S 11TH ST', 'E CARSON ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 11TH ST E CARSON ST
20,40.42771072480485,-79.98750073425943,0.4615384615384616,3,25.0,0.0,4.0,2.0,['15203'],1,0.3333333333333333,0,,1,1,0,0,5,"[0, 0, 0, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1]","['S 11TH ST', 'SARAH ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 11TH ST SARAH ST
